AGBM 106,Agribusiness Problem Solving,3
CMPSC 101,Introduction to Programming,3
CMPSC 121,Introduction to Programming Techniques,3
CMPSC 200,Programming for Engineers with MATLAB,3
CMPSC 201,Programming for Engineers with C++,3
CMPSC 203,Introduction to Spreadsheets and Databases,4
CMPSC 208,Technical Game Development,3
CRIMJ 260,Statistical Analysis for the Social Sciences,3
DA 101,Introduction to Data Analytics,3
EDPSY 101,Analysis and Interpretation of Statistical Data in Education,3
GAME 250,Technical Game Development,3
GAME 251,2D Game Programming,3
GEOSC 210,Geoscience Data Analytics,3
HDFS 200,Quantitative Skills for Human Services,3
HM 350,Hospitality Revenue and Profit Optimization,3
KINES 384,Biomechanics,3
MATH 21,College Algebra I,3
MATH 22,College Algebra II and Analytic Geometry,3
MATH 26,Plane Trigonometry,3
MATH 26H,Plane Trigonometry,3
MATH 30,Problem Solving,3
MATH 33,Mathematics for Sustainability,3
MATH 34,The Mathematics of Money,3
MATH 35,General View of Mathematics,3
MATH 36,Insights Into Mathematics,3
MATH 37,Finite Mathematics,3
MATH 38,Elementary Linear Algebra,3
MATH 40,"Algebra, Trigonometry, and Analytic Geometry",5
MATH 81,Technical Mathematics I,3
MATH 82,Technical Mathematics II,3
MATH 83,Technical Calculus,4
MATH 110,Techniques of Calculus I,4
MATH 111,Techniques of Calculus II,2
MATH 140,Calculus With Analytic Geometry I,4
MATH 140A,"Calculus, Analytic Geometry, Algebra, and Trigonometry",6
MATH 140B,Calculus and Biology I,4
MATH 140E,Calculus with Engineering Applications I,4
MATH 140G,Calculus with Earth and Mineral Sciences Applications I,4
MATH 140H,Honors Calculus with Analytic Geometry I,4
MATH 141,Calculus with Analytic Geometry II,4
MATH 141B,Calculus and Biology II,4
MATH 141E,Calculus with Engineering Applications II,4
MATH 141G,Calculus with Earth and Mineral Sciences Applications II,4
MATH 141H,Honors Calculus with Analytic Geometry II,4
MATH 200,Problem Solving in Mathematics,3
MATH 200H,Problem Solving in Mathematics,3
MATH 201,Problem Solving in Mathematics II,3
MATH 210,Calculus with Engineering Technology Applications,3
MATH 211,Intermediate Calculus and Differential Equations with Applications,3
MIS 204,Introduction to Management Information Systems,3
PHIL 12,Symbolic Logic,3
PSYCH 200,Elementary Statistics in Psychology,4
SCM 200,Introduction to Statistics for Business,4
SCM 200H,Honors Introduction to Statistics for Business,4
STAT 100,Statistical Concepts and Reasoning,3
STAT 200,Elementary Statistics,4
STAT 240,Introduction to Biometry,3
STAT 250,Introduction to Biostatistics,3