AA 193N,The Craft of Comics,3
AAS 100N,Introduction to Asian American Studies,3
AFAM S97I,Special Topics - InterDomain,3
AFAM 83,First-Year Seminar in African American Studies,3
AFAM 100N,Black Freedom Struggles,3
AFAM 101N,African American Women,3
AFAM 102,Women of the African Diaspora,3
AFAM 103,Racism and Sexism,3
AFAM 105N,Afro-Latin America: Race and Revolution,3
AFAM 110N,Introduction to African American Studies,3
AFAM 111N,Introduction to Anti-Black racism in the United States: The African American Experience,3
AFAM 114N,"Race, Gender and Sport",3
AFAM 116,Muslims in America,3
AFAM 126N,The Popular Arts in America: The History of Hip-Hop,3
AFAM 139,African American Literature,3
AFAM 145,African Diaspora Religions and Spiritualities,3
AFAM 146,"The Life and Thought of Martin Luther King, Jr.",3
AFAM 147,The Life and Thought of Malcolm X,3
AFAM 152,African American History,3
AFAM 164,The History of Brazil,3
AFAM 210,"Freedom's First Generation: African American Life and Work, from the Civil War to World War II",3
AFAM 211,Slavery and Freedom in the Black Atlantic,3
AFAM 213Y,African American Women's History,3
AFAM 226N,Critical Approaches to Hip-Hop,3
AFAM 250,Introduction to the Caribbean,3
AFAM 280,Historical Ethnography of Freedom,3
AFAM 364N,Black & White Sexuality,3
AFAM 435N,Black Ecologies,3
AFR 110N,Introduction to Contemporary Africa,3
AFR 150,Africa in Cinema,3
AFR 191,Early African History,3
AFR 192,Modern African History,3
AFR 192H,Modern African History,3
AFR 202N,"Women, Gender, and Feminisms in Africa",3
AFR 230N,Language and Social Justice,3
AFR 435N,Black Ecologies,3
AFR 449,Sport in African History,3
AG 160,Introduction into Ethics and Issues in Agriculture,3
AG 160S,Introduction to Ethics and Issues in Agriculture,3
AG 180N,"Contemporary Issues in Food, Ag, Natural Resources, and Human Sciences",3
AMST 3,The American Nation: Historical Perspectives,3
AMST 50,The Literature and Lore of Mining,3
AMST 83,First-Year Seminar in American Studies,3
AMST 100,Introduction to American Studies,3
AMST 100Y,Introduction to American Studies,3
AMST 103,American Masculinities,3
AMST 104,Women and the American Experience,3
AMST 105,American Popular Culture and Folklife,3
AMST 106N,The Mass Media and Society,3
AMST 127,Introduction to U.S. Latina/o History,3
AMST 134,American Comedy,3
AMST 135,Alternative Voices in American Literature,3
AMST 140Y,Religion in American Life and Thought,3
AMST 150,America in the 1960s: An Introduction,3
AMST 150N,"Western Pennsylvania Art, Literature, and Culture",3
AMST 151N,Technology and Society in American History,3
AMST 155,American Business History,3
AMST 160N,Introduction to Asian American Studies,3
AMST 161,The Battle of Gettysburg in American Historical Memory,3
AMST 161N,"Chinese in America, Americans in China",3
AMST 170N,Introduction to American Folklore,3
AMST 226N,Critical Approaches to Hip-Hop,3
AMST 307N,American Art and Society,3
AMST 308N,American Architecture,3
AMST 309N,American Material Culture,3
ANTH 2N,World Archaeology,3
ANTH 9N,Rise of Civilization in the Old World,3
ANTH 45N,Cultural Diversity: A Global Perspective,3
ANTH 45Q,Cultural Diversity: A Global Perspective,3
ANTH 60N,Society and Cultures in Modern Israel,3
ANTH 129N,Chocolate Worlds,3
ANTH 220,Anthropology and Art/ifacts,3
ANTH 221N,Ancient Maya: Sacred Blood & Conjured Serpent,3
ANTH 223N,European Prehistory,3
ANTH 434N,Black Ecologies,3
APLNG 200,"Introduction to Language, Culture, and Social Interaction",3
APLNG 210,Global English,3
APLNG 220N,Multilingual Lives: Stories of Language and Culture Learning,3
APLNG 230N,Language and Social Justice,3
APLNG 260,LANGUAGE AND TECHNOLOGY,3
APLNG 280N,Conducting International Comparative Research,3
ARAB 110,"Arab Language, Cultures, and Current Topics",3
ARAB 164,Introduction to the Qur'an,3
ARAB 165,"Islamic States, Societies and Cultures c. 600-1500",3
ARTH 115N,Arts of Love,3
ARTH 202N,Renaissance to Modern Architecture,3
ARTH 224N,Authors and Artists,3
ARTH 225N,Sexuality and Modern Visual Culture,3
ARTH 292N,Witches and Witchcraft from the Middle Ages to the Present,3
ARTH 307N,American Art and Society,3
ARTH 308N,American Architecture,3
ASIA 3,Introduction to the Religions of the East,3
ASIA 4,Introduction to Asian Literatures,3
ASIA 83S,Asian Studies First Year Seminar,3
ASIA 100,What is Asia?,3
ASIA 100Z,What is Asia? - LINKED,3
ASIA 101N,Sports in Asia,3
ASIA 102,Asian Popular Culture,3
ASIA 103,Introduction to Hinduism,3
ASIA 104,Introduction to Buddhism,3
ASIA 105,War and Memory in Asia: Twentieth Century and beyond,3
ASIA 106N,"Asian Traditions of Health, Medicine, and the Body",3
ASIA 120Y,South Asia: A Literary History,3
ASIA 122,Gods to Godzilla: A Survey of Japanese Culture,3
ASIA 171,South Asia since 1500,3
ASIA 172,Introduction to Japanese Civilization,3
ASIA 174,East Asia to 1800,3
ASIA 175,East Asia since 1800,3
ASIA 176,Survey of Indian History,3
ASIA 177,Rise of Modern Southeast Asia,3
ASIA 181,Introduction to the Religions of China and Japan,3
ASIA 182,"Asian Trade: Economy, Industrialization and Capitalism in Asia",3
ASIA 183,"Gender, Family, and Society in East Asia",3
ASIA 184,Society and Culture in the Pacific War,3
ASIA 186,The Silk Roads,3
ASIA 188,"Tibet: People, Places and Spaces",3
ASIA 189,Illicit Asia: An Alternative Introduction to Asia,3
ASIA 200,What Are Asian Languages?,3
ASTRO 19N,Being in the Universe,3
AYFCE 211N,Foundations: Civic and Community Engagement,3
BIOET 100,Bioethics,3
BIOET 110N,"Health, Illness, and the Human Condition",3
BIOET 220N,"Ethics, Society, and Science Fiction",3
BIOET 401Q,"Science, Ethics, Policy, and Law",3
BIOL 197E,*Special Topics Inter-Domain*,3
CAMS 1,Greek and Roman Literature,3
CAMS 4,Jewish and Christian Foundations,3
CAMS 5,Ancient Mediterranean Civilizations,3
CAMS 5Z,Ancient Mediterranean Civilizations,3
CAMS 10,Mesopotamian Civilization,3
CAMS 10U,MESOPOTAMIAN CIVILIZATION,3
CAMS 12N,Lands of the Bible,3
CAMS 15,Wonders of the Ancient World,3
CAMS 20,Egyptian Civilization,3
CAMS 25,Greek Civilization,3
CAMS 25U,Greek Civilization - Honors,3
CAMS 33,Roman Civilization,3
CAMS 44,Ancient Near Eastern and Egyptian Mythology,3
CAMS 45,Classical Mythology,3
CAMS 45H,Classical Mythology,3
CAMS 50,Words: Classical Sources of English Vocabulary,3
CAMS 70,Prophecy in the Bible and the Ancient Near East,3
CAMS 83Y,First-Year Seminar in Classics and Ancient Mediterranean Studies,3
CAMS 90,"Jerusalem: Past, Present, and Future",3
CAMS 100,Ancient Greece,3
CAMS 101,The Roman Republic and Empire,3
CAMS 102,Canaan and Israel in Antiquity,3
CAMS 104,Ancient Egypt,3
CAMS 105,History of the Ancient Near East,3
CAMS 109Y,Writing Systems of the World,3
CAMS 110,Introduction to the Bible: Old Testament,3
CAMS 111,Early Judaism,3
CAMS 113,Jewish Myths and Legends,3
CAMS 115,Literature of the Ancient Near East,3
CAMS 120,New Testament,3
CAMS 121,Jesus the Jew,3
CAMS 122,Apocalypse and Beyond,3
CAMS 123,History of God: Origins of Monotheism,3
CAMS 124,Early and Medieval Christianity,3
CAMS 130,The Ancient World in Film,3
CAMS 140,Classical Archaeology--Ancient Greece,3
CAMS 142,Sport and Spectacle in the Ancient Mediterranean World,3
CAMS 150,Classical Archaeology--Ancient Rome,3
CAMS 153,Dead Sea Scrolls,3
CAMS 160,Sacrifice in the Ancient World,3
CAMS 180,Ancient Warfare,3
CAMS 194,Jerusalem: Sacred and Profane,3
CAMS 200,Ancient Philosophy,3
CAMS 210,Numismatics and the Historian,3
CAMS 250,Honors Classics in Literature and Film,3
CAS 84,First-Year Seminar in Communication Arts and Sciences,3
CAS 101N,Introduction to Human Communication,3
CAS 162N,Communicating Care,3
CAS 170N,What is Information?,3
CAS 175N,Persuasion and Propaganda,3
CAS 182N,Communication and Sport,3
CAS 206,Mediation and Communication,3
CAS 208N,Introduction to Managing Conflict and Bargaining,3
CAS 210,Landmark Speeches on Democracy and Dissent,3
CAS 214W,Speech Writing,3
CAS 215,Argumentation,3
CAS 222N,Foundations: Civic and Community Engagement,3
CAS 232N,"Identity, Citizenship, and the Rhetoric of American Horror Film",3
CAS 255,Communicating Gender,3
CAS 271N,Intercultural Communication,3
CAS 272N,Political Communication and Technology,3
CAS 301,Rhetorical Theory,3
CAS 311,Methods of Rhetorical Criticism,3
CAS 315,Debate and Civic Life,3
CAS 321,Rhetoric and Law,3
CAS 352,Organizational Communication,3
CAS 373,The Rhetorics of War and Peace,3
CAS 375,Rhetoric and Public Controversy,3
CAS 383N,Culture and Technology,3
CAS 478,Contemporary U.S. Political Rhetoric,3
CED 102N,"Wicked Problems Like Inequality, Sustainability & Climate Change: What's the Right Thing to Do?",3
CED 109N,Gentrification in Everyday Life,3
CED 160,Introduction into Ethics and Issues in Agriculture,3
CED 400N,Exploring Indigenous Ways of Knowing in Great Lakes Region: Lecture,3
CHEM 233N,Chemistry and Literature,3
CHNS 120,Introduction to Chinese Literature and Culture,3
CHNS 120W,Introduction to Chinese Literature and Culture,3
CHNS 120Z,Introduction to Chinese Literature and Culture - Linked,3
CHNS 121N,Chinese Film and New Media,3
CI 280,Introduction to Teaching English Language Learners,3
CI 304N,"Food, Farms & Justice: What's Education Got To Do With Them?",3
CIVCM 211N,Foundations: Civic and Community Engagement,3
CMLIT 1,Introduction to Western Literatures Through the Renaissance,3
CMLIT 2,Introduction to Western Literatures Since the Renaissance,3
CMLIT 3,Introduction to African Literatures,3
CMLIT 4,Introduction to Asian Literatures,3
CMLIT 5,Introduction to Literatures of the Americas,3
CMLIT 6,Literature and Philosophy,3
CMLIT 7,Introduction to Middle Eastern Literatures,3
CMLIT 10,World Literatures,3
CMLIT 10U,The Forms of World Literature: A Global Perspective,3
CMLIT 11,The Hero in World Literature,3
CMLIT 12,Introduction to World Drama and Performance,3
CMLIT 13,Virtual Worlds: Antiquity to the Present,3
CMLIT 19N,Being in the Universe,3
CMLIT 83S,First-Year Seminar in Comparative Literature,3
CMLIT 100,Reading Across Cultures,3
CMLIT 101,"Race, Gender, and Identity in World Literature",3
CMLIT 105,The Development of Literary Humor,3
CMLIT 106,The Arthurian Legend,3
CMLIT 107,"Exploration, Travel, Migration, and Exile",3
CMLIT 108,Myths and Mythologies,3
CMLIT 109,"Native American Myths, Legends, and Literatures",3
CMLIT 110,Jewish Literature: An International Perspective,3
CMLIT 111,Introduction to Literatures of India,3
CMLIT 112N,"Introduction to Global Drama, Theatre, and Performance",3
CMLIT 113,Jewish Myths and Legends,3
CMLIT 116,Jewish Great Books,3
CMLIT 120,The Literature of the Occult,3
CMLIT 122,Global Science Fictions,3
CMLIT 128N,The Holocaust in Film and Literature,3
CMLIT 130,Banned Books: International and Comparative Perspectives,3
CMLIT 131,Crime and Detection in World Literature,3
CMLIT 132,Nobel Prize Literature,3
CMLIT 133N,Global Satire and Modern Politics,3
CMLIT 140,Literature and the Other Arts: International and Comparative Perspectives,3
CMLIT 141,Religion and Literature,3
CMLIT 142,The Psychology of World Literature,3
CMLIT 143,Human Rights and World Literature,3
CMLIT 153,International Cultures: Film and Literature,3
CMLIT 183Q,From Beast Books to Resurrecting Dinosaurs,3
CMLIT 184,The Short Story,3
CMLIT 185,World Novel,3
CMLIT 189,Modern Drama,3
CMLIT 191N,Introduction to Video Game Culture,3
CMLIT 240Q,Artistic Patronage in Europe,3
CMLIT 415,World Graphic Novels,3
COMM 100N,The Mass Media and Society,3
COMM 110,Media and Democracy,3
COMM 150N,The Art of the Cinema,3
COMM 150Q,The Art of the Cinema,3
COMM 168,"American Journalism: Values, Traditions, and Practices",3
COMM 222N,Social Justice and the Image,3
COMM 234N,Digital Cultures,3
COMM 235N,Introduction to Public Humanities,3
COMM 261,The Literature of Journalism,3
COMM 292,Introduction to Media & Politics,3
CRIM 225N,Organized Crime in Film and Society,3
CRIM 297I,Special Topics - InterDomain,3
CRIMJ 159,History of the FBI,3
CRIMJ 205N,Critical Race Theory in the Humanities and Social Sciences,3
DANCE 411,From Africa to Hip Hop- The Evolution of African American Dance History,3
DART 102N,Introduction to 2d Digital Art and Technology,3
DIGIT 100,Introduction to Digital Humanities,3
EARTH 155N,Scientific Controversies and Public Debate,3
ECON 472N,Russian Economic History,3
EDUC 205N,Critical Race Theory in the Humanities and Social Sciences,3
EDUC 466N,Foundations of Teaching English as a Second Language,3
EMSC 240N,Energy and Sustainability in Contemporary Culture,3
ENGL 2,The Great Traditions in English Literature,3
ENGL 2H,The Great Traditions in English Literature Honors,3
ENGL 83S,First-Year Seminar in English,3
ENGL 88,Australian/New Zealand Cultural Perspectives,3
ENGL 101,Introduction to Literature,3
ENGL 103,The Great Traditions in American Literature,3
ENGL 104,The Bible as Literature,3
ENGL 105,American Popular Culture and Folklife,3
ENGL 112,Pennsylvania Literature,3
ENGL 115N,Arts of Love,3
ENGL 118,Music and Literature,3
ENGL 120,Difference in Early Literature,3
ENGL 124,"Legal Fictions: Law, Justice, Literature",3
ENGL 126,Bad Literature,3
ENGL 128N,The Holocaust in Film and Literature,3
ENGL 129,Shakespeare,3
ENGL 129H,Shakespeare,3
ENGL 130,Reading Popular Texts,3
ENGL 131,Weird Tales: Literature of Horror and the Supernatural,3
ENGL 132,Jewish American Literature,3
ENGL 133,Modern American Literature to World War II,3
ENGL 134,American Comedy,3
ENGL 135,Alternative Voices in American Literature,3
ENGL 136,The Graphic Novel,3
ENGL 139,African American Literature,3
ENGL 140,Contemporary Literature,3
ENGL 140H,Contemporary Literature - Honors,3
ENGL 142N,Science in Literature,3
ENGL 144,Everyday Rhetoric,3
ENGL 145,Modern Irish Literature,3
ENGL 161N,The Pursuit of Happiness in American Life: Historical Literature and Modern Practice,3
ENGL 162N,Communicating Care,3
ENGL 163N,Defining the Animal,3
ENGL 165N,Work and Literature,3
ENGL 170N,Introduction to American Folklore,3
ENGL 179,Exploring the Literature of Food: Current Trends in American Food Writing and Environmentalism,3
ENGL 180,Literature and the Natural World,3
ENGL 181A,Adventure Literature: Exploring the Chesapeake Bay,4.5
ENGL 181B,Adventure Literature: Exploring Cape Cod,4.5
ENGL 181C,The Beach: Exploring the Literature of the Atlantic Shore,4.5
ENGL 181D,Adventure Literature: Exploring the Literature of American Wilderness,3
ENGL 182,Literature and Empire,3
ENGL 182A,Literature and Empire,3
ENGL 182C,Literature and Empire,3
ENGL 183N,"The Cold War in Literature, Politics, and History",3
ENGL 183Z,Adventure Literature,3-4.5
ENGL 184,The Short Story,3
ENGL 185,World Novel,3
ENGL 189,Modern Drama,3
ENGL 190Q,Medievalism,3
ENGL 191,Science Fiction,3
ENGL 192,The Literature of Fantasy,3
ENGL 193N,The Craft of Comics,3
ENGL 194,Women Writers,3
ENGL 194H,Women Writers - Honors,3
ENGL 194S,Women Writers,3
ENGL 197Z,Special Topics - Linked Course,3
ENGL 201,What is Literature,3
ENGL 201H,What is Literature,3
ENGL 205,Children's Literature,3
ENGL 206,Business and Literature,3
ENGL 208N,The Music of the Beatles and American Popular Culture,3
ENGL 221,British Literature to 1798,3
ENGL 221W,British Literature to 1798,3
ENGL 222,British Literature from 1798,3
ENGL 222W,British Literature from 1798,3
ENGL 223N,"Shakespeare: Page, Stage, and Screen",3
ENGL 224N,Authors and Artists,3
ENGL 225N,Sexuality and Modern Visual Culture,3
ENGL 226,Latina and Latino Border Theories,3
ENGL 227,Introduction to Queer Theory,3
ENGL 228,Introduction to Disability Studies in the Humanities,3
ENGL 229,Digital Studies,3
ENGL 231,American Literature to 1865,3
ENGL 231Y,American Literature to 1865,3
ENGL 232,American Literature from 1865,3
ENGL 232Y,American Literature from 1865,3
ENGL 233N,Chemistry and Literature,3
ENGL 234,"Sports, Ethics, and Literature",3
ENGL 236N,"Inequality: Economics, Philosophy, Literature",3
ENGL 237N,Reading and Writing Documentary Poetry,3
ENGL 240,Exploring Literary Traditions,3
ENGL 245,Introduction to LGBTQ Studies,3
ENGL 261,Exploring Literary Forms,3
ENGL 262,Reading Fiction,3
ENGL 263,Reading Poetry,3
ENGL 265,Reading Nonfiction,3
ENGL 268,Reading Drama,3
ENGR 115N,"Science, Humanity and Catastrophe: Scientific Discovery in Germany",3
ENGR 197E,Special Topics GN/GH,3
ENGR 467Q,Robots and Their Role in Society,3
ENT 216N,Plagues Through the Ages,3
ENVST 100N,Visions of Nature,3
ESC 220N,"Ethics, Society, and Science Fiction",3
FDSC 134,"Food, Values, and Health",3
FR 83,First-Year Seminar in French,3
FR 137,Paris: Anatomy of a Global City,3
FR 138N,French Culture Through Film,3
FR 139,France and the French-speaking World,3
FR 142,"French Fiction, Drama, and Film (In English)",3
GAME 160N,Introduction to Video Game Culture,3
GD 115N,Visualizing Information,3
GEOG 2N,Apocalyptic Geographies: How can we prevent the end of the world?,3
GEOG 122,The American Scene,3
GEOSC 212N,Earthquakes and Human History,3
GER 83,First-Year Seminar in German,3
GER 100,German Culture and Civilization,3
GER 115N,"Science, Humanity and Catastrophe: Scientific Discovery in Germany",3
GER 123,Genocide in Global perspectives: Twentieth Century and beyond,3
GER 128N,The Holocaust in Film and Literature,3
GER 143,The Culture of Stalinism and Nazism,3
GER 157N,The Amish,3
GER 166,"Marx, Nietzsche, Freud",3
GER 175,Germanic Heroic and Medieval Literature in English Translation,3
GER 189N,German Film,3
GER 190,Twentieth-Century German Literature in English Translation,3
GER 197E,Special Topics GN/GH,3
GER 200N,Contemporary German Culture,3
GER 245,The Vikings,3
GLIS 101N,Globalization,3
GLIS 102N,Global Pathways,3
HDFS 254N,Reading Our Lives: Understanding Diversity and Human Development through Memoirs,3
HEBR 10,Jewish Civilization,3
HHD 245N,"Health, humanity, and longevity: Conversations with elders",3
HHD 497I,Intergenerational Communication,3
HHUM 220N,"Ethics, Society, and Science Fiction",3
HIST 1,Western Civilization I,3
HIST 1H,Western Civilization I,3
HIST 1T,The Western Heritage I,3
HIST 2,Western Civilization II,3
HIST 2H,Western Civilization II,3
HIST 3,The American Nation: Historical Perspectives,3
HIST 5,Ancient Mediterranean Civilizations,3
HIST 5Z,Ancient Mediterranean Civilizations,3
